Prepared: 03-MAR-2026 13:50 GMT,,,,,,,,,
MSN,Noun,Bulk Issue,Process Name,Local Process Name,Dist %,Max On Hand,Shop Code,Org Symbol,
6850PHM00514938,"REAGENT, CHEMICAL OXYGEN, WASTEWATER, KIT",N,"Disposing/recycling, NOC",WASTE DISPOSAL / TREATMENT,100,3,999B-Z66,72 ABW,
6850PHM00514938,"REAGENT, CHEMICAL OXYGEN, WASTEWATER, KIT",N,Multiple operations,MULTIPLE OPERATIONS,100,125,054H-Z01,72 ABW,
6850PHM00106811,DEOXIDIZER,N,"Electroplating, dip tank",ELECTROPLATING/COATING DIP TANKS (NON-CHROME),100,125,047E-Z01,PMXG,
6850PHM00511510,CEE-BEE A-477 ADDITIVE O,N,"Equipment repair/prev. maint., NOC",SOLUTION MAINTENANCE,100,125,032B-Z04,PMXG,
9150PHM00513564,"LUBRICANT, METALWORKING",N,"Lubricating, multiple operations",076B-Z02 LUBRICANTS,100,125,076B-Z02,550 CMMXS,
6810PHM00513939,COPPER ICP STANDARD 1000 PPM,N,Physical testing,LIQUID ANALYSIS,100,125,054C-Z01,MXSG,
9150PHM00010750,"LUBRICANT, AUTOMATIC TRANSMISSION FLUID",N,"Vehicle repair, multiple operations",VEHICLE MAINTENANCE,100,36,999A-Z26,72 LRS,
7930PHM00097037,"CLEANING COMPOUND, MULTI-PURPOSE, AEROSOL",N,General housekeeping,GENERAL HOUSEKEEPING ACTIVITIES,100,36,999A-Z26,72 LRS,
5610PHM00005651,"PAVEMENT, REPAIR, CONCRETE/MASONRY/ASPHALT",N,"Grounds maintenance, NOC",GROUNDS MAINTENANCE,100,108,999B-Z45,72 ABW/CECOIG,
6850PHM00511330,TRACE-IT POWDER ORANGE,N,"Equipment repair/prev. maint., NOC",INDUSTRIAL EQUIPMENT REPAIR/MAINTENANCE,100,3,371A-Z01,MXSG,
8040PHM00022935,"PRIMER, ADHESIVE, PVC PIPE",N,"Plumbing, multiple operations","PLUMBING, MULTIPLE OPERATIONS",100,125,022A-Z09,MXSG,
6850010139937,"LAYOUT DYE, STEEL RED",N,"NOC, multiple operations",MAINTENANCE NOC,50,125,051H-Z03,PMXG,
3439002622652,"ELECTRODE, STEEL FILLER, SMAW, .094"" DIA, AWS A5.1",N,"Heat treating/hardening, multiple operations",080C-Z01 WELDING,50,125,080C-Z01,553 CMMXS,
8040PHM00073990,"ADHESIVE REMOVER, AEROSOL",N,Adhering/bonding/sealing - all usages,USE OF SEALANTS AND ADHESIVES,100,125,999A-Z26,72 LRS,
7930PHM00020902,"CLEANING COMPOUND, FOAM DISPENSER, AEROSOL",N,"Structure fabrication/renovation, multiple operations",CONSTRUCTION OPERATIONS,100,125,999B-Z59,72 ABW/CECOPM,
8010PHM00000402,"ACRYLIC ENAMEL, SAFETY RED, RUST PREVENTATIVE, AEROSOL",N,"Coating/painting, facilities/buildings - spray",CORROSION PROTECTION,100,125,999B-Z59,72 ABW/CECOPM,
8030007535005,"SEALING COMPOUND, AIRCRAFT INTEGRAL FUEL TANK, KIT",N,Adhering/bonding/sealing - all usages,056A-Z01 ADHERING/BONDING/SEALING,50,125,056A-Z01,550 CMMXS,
5970002536021,"INSULATING COMPOUND, ELECTRICAL, KIT",N,Adhering/bonding/sealing - all usages,056A-Z01 ADHERING/BONDING/SEALING,50,125,056A-Z01,550 CMMXS,
6810002229643,"AMMONIUM HYDROXIDE, TECHNICAL, TYPE I",N,"Aircraft/flightline operations, NOC","Aircraft/flightline operations, NOC",50,125,150A-Z01,552 MXS,
3439002554571,"FLUX, SOLDERING, AIRCRAFT, TYI, A FORM",N,"Soldering, NOC","Soldering, NOC",50,125,429A-Z01,VQ-3,
3439002699610,"SOLDER, TIN ALLOY, .063""",N,"Soldering, NOC","Soldering, NOC",50,125,429A-Z01,VQ-3,
8030007535004,"SEALING COMPOUND, MRAP, GRAY, TY2, CL B-1/2",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,50,125,015I-Z02,565 AMXS,
8030011429830,"SEALING COMPOUND, THREADLOCKING, RED",N,Adhering/bonding/sealing - all usages,Adhering/bonding/sealing - all usages,50,125,416A-Z01,VQ-3,
8030011429830,"SEALING COMPOUND, THREADLOCKING, RED",N,Adhering/bonding/sealing - all usages,ADHERING/BONDING/SEALING - ALL USAGES,50,125,416A-Z01,VQ-3,
8030011840329,"SEALING COMPOUND, CORROSION INHIBITIVE, AIRCRAFT, GRAY, KIT",N,Adhering/bonding/sealing - all usages,Adhering/bonding/sealing - all usages,50,125,416A-Z01,VQ-3,
6850CT74@T,TOWER INHIBITOR(MOST CURRENT FROM MFG),N,"Facility maintenance, general","Facility maintenance, general",50,125,148A-Z01,552 MXS,
8030010251692,"SEALANT, THREADLOCKER, BLUE",N,Adhering/bonding/sealing - all usages,Adhering/bonding/sealing - all usages,50,15,416A-Z01,VQ-3,
8030013963362,"SEALANT, RETAINING COMPOUND, ACRYLIC, GREEN",N,Preventive maintenance,PREVENTIVE MAINTENANCE,50,125,416B-Z01,VQ-4,
3439005866673,"WELDING ELECTRODE, COBALT/CHROMIUM ALLOY, .30""",N,"Heat treating/hardening, multiple operations",080C-Z01 WELDING,50,125,080C-Z01,553 CMMXS,
3439001669584,"WELDING ROD, NICKEL ALLOY, .045""",N,"Welding, multiple operations",WELDING/BRAZING/CUTTING/SOLDERING,50,125,156A-Z01,552 MXS,
3439005866673,"WELDING ELECTRODE, COBALT/CHROMIUM ALLOY, .30""",N,"Welding, multiple operations",WELDING/BRAZING/CUTTING/SOLDERING,50,125,156A-Z01,552 MXS,
3439002622670,"CARBON STEEL ELECTRODES, E6010, 1/8"" X 14"",  AWS A5.1",N,"Heat treating/hardening, multiple operations","HEAT TREATING/HARDENING, MULTIPLE OPERATIONS",50,125,022A-Z01,MXSG,
8030005468637,"SEALANT, CORROSION PREVENTIVE, AEROSOL",N,Flight line operations,FLIGHT LINE OPERATIONS/TIRE CHANGE NOSE AND MAIN,50,125,125A-Z01,507 AGS/LG,
7930PHM00002226,"CLEANING COMPOUND, ELECTRO CONTACT, AEROSOL",N,"Cleaning- mechanical, NOC",EQUIPMENT CLEANING,100,125,999B-Z61,72 ABW/CECOPM,
8040PHM00072250,"ADHESIVE, CYANOACRYLATE, CLEAR, MULTI-PURPOSE",N,Adhering/bonding/sealing - all usages,USE OF SEALANTS AND ADHESIVES,100,3,999B-Z61,72 ABW/CECOPM,
3439PHM00058602,"ELECTRODE, WELDING, CARBON STEEL, 5/32",N,"Welding, NOC",WELDING / SOLDERING / BRAZING,100,8,999B-Z61,72 ABW/CECOPM,
8030007535004,"SEALING COMPOUND, MRAP, GRAY, TY2, CL B-1/2",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,201A-Z02,566 AMXS,
8030010145869,"SEALANT, THIXOTROPIC, BLUE, THREADLOCKING",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,201A-Z02,566 AMXS,
8030011840330,"SEALING COMPOUND, GRAY, RUBBER SYNTHETIC, KIT",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,201A-Z02,566 AMXS,
8030012905137,"SEALING COMPOUND, SYNTHETIC RUBBER, GRAY, INTEGRAL FUEL TANK, KIT",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,201A-Z02,566 AMXS,
1234K_6810551J@T,ACID TEST KIT TA-1,N,"Administrative, NOC",GENERAL HOUSEKEEPING ACTIVITIES,100,125,999B-Z58,76 MXSS/MXDVA,
6810LAB551J(5D028)@T,VIRGINIA TKO REFRIGERATION OIL TEST KIT,N,"Administrative, NOC",GENERAL HOUSEKEEPING ACTIVITIES,100,125,999B-Z58,76 MXSS/MXDVA,
6810LAB551J(78462)@T,VIRGINIA TKO REFRIGERATION OIL TEST KIT,N,"Administrative, NOC",GENERAL HOUSEKEEPING ACTIVITIES,100,125,999B-Z58,76 MXSS/MXDVA,
6810LAC181G@T,NU-BRITE,N,"Administrative, NOC",GENERAL HOUSEKEEPING ACTIVITIES,100,125,999B-Z58,76 MXSS/MXDVA,
6830009359896,"MONOCHLORODIFLUOROMETHANE, TECHNICAL, LIQUEFIED GAS",N,"Administrative, NOC",GENERAL HOUSEKEEPING ACTIVITIES,100,125,999B-Z58,76 MXSS/MXDVA,
8010001605788,"THINNER, PAINT",N,"Coating/painting, multiple operations",PAINTING,100,125,999B-Z58,76 MXSS/MXDVA,
8030005468637,"SEALANT, CORROSION PREVENTIVE, AEROSOL",N,"Cleaning, other- multiple operations","Cleaning, other- multiple operations",100,125,416B-Z01,VQ-4,
8030014710603,"SEALING COMPOUND, SILICONE, GRAY, AIRCRAFT FIREWALL, KIT",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,201A-Z02,566 AMXS,
8030011840329,"SEALING COMPOUND, CORROSION INHIBITIVE, AIRCRAFT, GRAY, KIT",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,375A-Z01,546 PMXS,
8040001236954,"ADHESIVE, PLASTIC EPOXY, GRAY, STRUCTURAL APPLICATIONS, KIT",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,375A-Z01,546 PMXS,
